Date Published,Shortcode,Map Marker,Story Summary,Clusters,History,Location,Page + Discussion?,Address,Map Location,Longitude,Latitude,Year,timelineStart,timelineEnd,Story Type,Category 1,Category 2,Category 3,Category 4,Category 5,Notes,On the Map?,Permanent Link,Image
2/7/2022,TRUE,TRUE,FALSE,The 1904 Kohler “Armeda” Toilet,The 1904 Kohler “Armeda” Toilet,"Sheboygan, WI",Page + Discussion,,"43.738828, -87.778138",-87.780071,43.739362,1904,1904,1904,Object,Manufacturing & Trade,Home Furnishings,,,,,,https://wi101.wisc.edu/2022/02/07/object-history-t…er-armeda-toilet/,
10/5/2021,TRUE,,FALSE,Council Oak Tree,UW-Eu Claire History ,"Eau Claire, WI (university)",Page + Discussion,"105 Garfield Ave, Eau Claire, WI 54701","44.798990, -91.501350",-91.501405,44.799067,1916,1916,1916,Related,Education,,,,,,,https://wi101.wisc.edu/2021/10/05/uw-eau-claire-history/,
10/5/2021,TRUE,,TRUE,Council Oak Tree,UW-Eu Claire & The Council Oak Tree,"Eau Claire, WI (university)",Page + Discussion,"106 Garfield Ave, Eau Claire, WI 54701","44.798990, -91.501350",-91.501405,44.799067,"1800s, 1916, 1990",1800,1990,Related,Education,Nature & Environment,Ethnicity & Identity,,,,,https://wi101.wisc.edu/2021/10/05/uw-eau-claire-the-council-oak-tree/,
10/1/2021,TRUE,TRUE,TRUE,Council Oak Tree,Council Oak Tree Bench,"Eau Claire, WI (university)",Page + Discussion,"107 Garfield Ave, Eau Claire, WI 54701","44.798990, -91.501350",-91.501405,44.799067,"1987, 2003 or 2005",1987,2005,Object,Nature & Environment,Education,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2021/10/01/object-history-c…l-oak-tree-bench/,
9/29/2021,TRUE,,FALSE,Neenah Foundry Manhole Cover,Manhole Cover Designs and Contemporary Aesthetics,"Neenah, WI",Page + Discussion,,"44.178242, -88.477226",-88.477254,44.178372,1840s-1850s,1840,1859,Related,Manufacturing & Trade,Transportation & Tourism,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2021/09/29/manhole-cover-de…orary-aesthetics/,
9/29/2021,TRUE,,FALSE,Neenah Foundry Manhole Cover,From the Fox River Valley to the Windy City: The Roaring Twenties and the Neenah Foundry,"Neenah, WI",Page + Discussion,,"44.178242, -88.477226",-88.477254,44.178372,1920s,1920,1929,Related,Manufacturing & Trade,Transportation & Tourism,,,,,,https://wi101.wisc.edu/2021/09/29/from-the-fox-riv…e-neenah-foundry/,
9/29/2021,TRUE,,FALSE,Neenah Foundry Manhole Cover,An Iron Kinship: Abraham Darby and William Aylward,"Neenah, WI",Page + Discussion,,"44.178242, -88.477226",-88.477254,44.178372,1872,1872,1872,Related,Manufacturing & Trade,Science & Medicine,,,,,,https://wi101.wisc.edu/2021/09/29/an-iron-kinship-…lliam-aylward-sr/,
9/29/2021,TRUE,TRUE,FALSE,Neenah Foundry Manhole Cover,Neenah Foundry Manhole Cover,"Neenah, WI",Page + Discussion,,"44.178242, -88.477226",-88.477254,44.178372,1904,1904,1904,Object,Manufacturing & Trade,Transportation & Tourism,Science & Medicine,,,,,https://wi101.wisc.edu/2021/09/29/object-history-n…ry-manhole-cover/,
9/22/2021,TRUE,TRUE,TRUE,Sholes and Glidden Typewriter,Sholes and Glidden Typewriter,"Milwaukee, WI",Page + Discussion,,"43.043160, -87.915360",-87.915307,43.043178,1866,1866,1866,Object,Manufacturing & Trade,Education,Global Connections,,,,,https://wi101.wisc.edu/2021/09/22/object-history-s…idden-typewriter/,
9/22/2021,TRUE,,TRUE,Sholes and Glidden Typewriter,Christopher Latham Sholes,"Milwaukee, WI",Page + Discussion,,"43.043160, -87.915360",-87.915307,43.043178,1819-1890,1819,1890,Related,Manufacturing & Trade,Education,Global Connections,,,,,https://wi101.wisc.edu/2021/09/22/christopher-latham-sholes/,
9/22/2021,TRUE,,FALSE,Sholes and Glidden Typewriter,Origins of the Qwerty Keyboard,"Milwaukee, WI",Page,,,0,0,?,,,Related,,,,,,Archive,,https://wi101.wisc.edu/2021/09/22/qwerty-keyboard-and-morse-code/,
9/14/2021,TRUE,,FALSE,"Marathon Brewing Company ""Superfine"" Beer Bottle",The Marathon Brewery's Chain of Calamities,"Marathon, WI",Page + Discussion,,"44.930481, -89.840271",-89.840446,44.930662,1898,1898,1898,Related,Manufacturing & Trade,Food & Cooking,,,,,,https://wi101.wisc.edu/2021/09/14/the-marathon-bre…in-of-calamities/,
9/14/2021,TRUE,,FALSE,"Marathon Brewing Company ""Superfine"" Beer Bottle",Marathon City Brewing and the Wee Willy Basketball Team,"Marathon, WI",Page + Discussion,,"44.930481, -89.840271",-89.840446,44.930662,1936,1936,1936,Related,Manufacturing & Trade,Art Sport & Entertainment,Food & Cooking,,,,,https://wi101.wisc.edu/2021/09/14/marathon-city-br…-basketball-team/,
8/31/2021,TRUE,TRUE,FALSE,"Marathon Brewing Company ""Superfine"" Beer Bottle","Marathon Brewing Company ""Superfine"" Beer Bottle","Marathon, WI",Page + Discussion,,"44.930481, -89.840271",-89.840446,44.930662,1940s,1940,1949,Object,Manufacturing & Trade,Food & Cooking,,,,,,https://wi101.wisc.edu/2021/08/31/object-history-m…fine-beer-bottle/,
8/19/2021,TRUE,,FALSE,Frank Lloyd Wright Pew/Bench,Frank Lloyd Wright's Organic Architecture,All over the US,Page + Discussion,,,0,0,1950s,1950,1959,Related,Nature & Environment,Home Furnishings,Religion,,,,,https://wi101.wisc.edu/2021/08/19/frank-lloyd-wrig…nic-architecture/,
8/19/2021,TRUE,,FALSE,Frank Lloyd Wright Pew/Bench,Unitarianism and the Madison Meeting House,"Madison, WI",Page + Discussion,"900 University Bay Dr, Madison, WI 53705","43.082588, -89.428551",-89.427361,43.083059,1947,1947,1947,Related,Religion,Home Furnishings,,,,,,https://wi101.wisc.edu/2021/08/19/unitarianism-and…on-meeting-house/,
8/19/2021,TRUE,,FALSE,The Land of the Freed-up Woman,Marge Engelman and Equal Opportunity at UW-Green Bay,"Green Bay, WI",Page + Discussion,"2421 Nicolet Dr, Green Bay, WI 54311","44.532340, -87.930770",-87.929421,44.532646,1940s,1940,1949,Related,Education,Politics Society & Government,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2021/08/19/marge-engelman-a…-at-uw-green-bay/,
8/19/2021,TRUE,TRUE,FALSE,The Land of the Freed-up Woman,The Land of the Freed-up Woman,"Green Bay, WI",Page + Discussion,"210 Museum Pl, Green Bay, WI 54303","44.517860, -88.018410",-88.01863,44.51784,1972,1972,1972,Object,Art Sport & Entertainment,Politics Society & Government,Ethnicity & Identity,,,,,https://wi101.wisc.edu/2021/08/19/object-history-t…e-freed-up-woman/,
8/19/2021,TRUE,,FALSE,The Land of the Freed-up Woman,Wisconsin's Feminist Leaders and the National Organization for Women,"Madison, WI",Page + Discussion,,"43.084170, -89.377110",-89.377121,43.084181,1966,1966,1966,Related,Politics Society & Government,Ethnicity & Identity,,,,,,https://wi101.wisc.edu/2021/08/19/wisconsins-femin…zation-for-women/,
8/17/2021,TRUE,TRUE,FALSE,King Gambrinus Statues of LaCrosse,King Gambrinus Statues of LaCrosse,"La Crosse, WI",Page + Discussion,"925 3rd Street South La Crosse, WI 54601","43.804230, -91.252630",-91.25264,43.804236,1939,1939,1939,Object,Manufacturing & Trade,Art Sport & Entertainment,Global Connections,,,,,https://wi101.wisc.edu/2021/08/17/object-history-k…tues-of-lacrosse/,
8/17/2021,TRUE,,FALSE,King Gambrinus Statues of LaCrosse,The Heileman Family: A German Immigration Story,"La Crosse, WI",Page + Discussion,"926 3rd Street South La Crosse, WI 54601","43.804230, -91.252630",-91.25264,43.804236,1858-1996,1858,1996,Related,Ethnicity & Identity,Manufacturing & Trade,Global Connections,,,,,https://wi101.wisc.edu/2021/08/17/the-heileman-fam…mmigration-story/,
8/17/2021,TRUE,TRUE,FALSE,King Gambrinus Statues of LaCrosse,World's Largest Six-Pack,"La Crosse, WI",Page + Discussion,"925 3rd Street South La Crosse, WI 54601","43.804230, -91.252630",-91.25264,43.804236,1969,1969,1969,Object,Manufacturing & Trade,Food & Cooking,,,,,,https://wi101.wisc.edu/2021/08/17/object-history-w…largest-six-pack/,
8/16/2021,TRUE,TRUE,FALSE,Frank Lloyd Wright Pew/Bench,Frank Lloyd Wright Pew/Bench,"Madison, WI",Page + Discussion,"900 University Bay Dr, Madison, WI 53705","43.082588, -89.428551",-89.427361,43.083059,1947,1947,1947,Object,Religion,Home Furnishings,,,,,,https://wi101.wisc.edu/2021/08/16/object-history-f…oyd-wright-bench/,
6/7/2021,TRUE,,FALSE,Hearthstone House Chandelier,The Hearthstone House and Electricity to Wisconsin,"Appleton, WI",Page + Discussion,"625 W Prospect Ave, Appleton, WI 54911","44.254260, -88.414860",-88.414874,44.254284,1882,1882,1882,Related,Science & Medicine,Home Furnishings,,,,,,https://wi101.wisc.edu/2021/06/07/the-hearthstone-house/,
6/7/2021,TRUE,TRUE,FALSE,Hearthstone House Chandelier,Hearthstone House Chandelier,"Appleton, WI",Page + Discussion,"625 W Prospect Ave, Appleton, WI 54911","44.254260, -88.414860",-88.414874,44.254284,1882,1882,1882,Object,Science & Medicine,Home Furnishings,,,,,,https://wi101.wisc.edu/2021/06/07/object-history-h…house-chandelier/,
1/9/2019,TRUE,TRUE,TRUE,A Hmong Baby Sash,Hmong Baby Carrier,"Oshkosh, WI",Page + Discussion,,"44.020802, -88.540009",-88.539961,44.020639,1987,1987,1987,Object,Clothing & Fashion,Ethnicity & Identity,Global Connections,Politics Society & Government,Art Sport & Entertainment,,,https://wi101.wisc.edu/2019/01/09/object-history-hmong-baby-carrier/,
5/10/2019,TRUE,TRUE,TRUE,Polka Rhythms Bandstand,Polka Rhythms Bandstand,"Pulaski, WI",Page + Discussion,,"44.672359, -88.242302",-88.242477,44.672555,1980-2003,1980,2003,Object,Art Sport & Entertainment,,,,,Adaptation of Curator's Favorite Article,,https://wi101.wisc.edu/2019/05/10/object-history-p…hythms-bandstand/,
5/3/2021,TRUE,,FALSE,Two-sided Spork,The Fish Boil Tradition,"Door County, WI",Page + Discussion,,"45.128220, -87.250110",-87.250136,45.128336,late 1800s,1870,1899,Related,Food & Cooking,Art Sport & Entertainment,,,,,,https://wi101.wisc.edu/2021/05/03/the-fish-boil-tradition/,
5/3/2021,TRUE,TRUE,TRUE,Two-sided Spork,Two-sided Spork,"Fish Creek, WI",Page + Discussion,"4225 Main St, Fish Creek, WI 54212","45.128220, -87.250110",-87.250136,45.128336,1960s,1960,1969,Object,Food & Cooking,Art Sport & Entertainment,,,,,,https://wi101.wisc.edu/2021/05/03/object-history-two-sided-spork/,
2/6/2021,TRUE,,FALSE,Ojibwe Presentation Pipe,Kechewaishke,"Madeline Island, WI",Page + Discussion,,"46.815113, -90.696043",-90.698459,46.810539,1840-1855,1840,1855,Related,Ethnicity & Identity,Politics Society & Government,Nature & Environment,,,,,https://wi101.wisc.edu/2021/02/16/kechewaishke/,
12/29/2020,TRUE,TRUE,FALSE,Paramount Records 78,Paramount Records Power Wheel,"Grafton, WI",Page + Discussion,,"43.321571, -87.951797",-87.95182,43.321358,1848,1848,1848,Object,Manufacturing & Trade,Nature & Environment,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2020/12/29/object-history-power-wheel/,
12/18/2020,TRUE,TRUE,FALSE,N/A,Aztalan Copper Maskettes,"Aztalan, WI",Page + Discussion,,"43.0725326928801, -88.8618713272197",-88.86216,43.072486,9th-14th cen,800,1399,Object,Art Sport & Entertainment,Ethnicity & Identity,Clothing & Fashion,,,,,https://wi101.wisc.edu/2020/12/18/object-history-a…copper-maskettes/,
12/18/2020,TRUE,,FALSE,Ojibwe Presentation Pipe,James Duane Doty,"Madison, WI/Doty Island, WI",Page + Discussion,,"43.073051, -89.401230; 44.191875, -88.447709",0,0,1823-1853,1823,1853,Related,Politics Society & Government,,,,,,,https://wi101.wisc.edu/2020/12/18/james-duane-doty/,
